,observation_1,observation_2,hypothesis_1,hypothesis_2,label
197,Joe was on the beach with some friends.,"Joe started to throw sand on the fire, people joined in and stopped it.",People were yelling at them.,People were smiling at them.,1
198,Amy was in the park walking her dog Spot.,Amy gave the mime a $5 to make up for being scared by Spot.,Amy's panda Spot snarled and barked at a performing mime.,Amy's dog Spot snarled and barked at a performing mime.,2
199,Billy's birthday was a few weeks ago.,We had an amazing time all night on the boat and the next day too.,We bought him tickets for a football game.,we bought him tickets for a cruise.,2
200,Fred and Wilhelm are playing at the park.,He and Fred are now no longer friends.,Fred pushed Wilhelm to the ground by accident.,Fred pushed Wilhelm to the ground at his request.,1
201,Dave was the best detective in the world.,He solved it immediately and shocked everybody.,He was given the oldest case in history.,He was giving the easiest case in history.,1
202,Steph usually ate a large breakfast.,She felt like a complete failure.,Steph binge ate when she was stressed out.,Steph did not binge eat when she was stressed out.,1
203,I had two dogs that were very close.,Our dog feels much better playing with another dog.,Our dog just had puppies.,One of our dogs passed away.,2
204,Chris took his girl on a boat trip.,It was the most amazing boat ride.,Chris's girl had a very big boat.,Chris had a very big boat.,2
205,Quincy wandered through his garden one evening.,"It was Miss Marple, sabotaging the shrubs so her yard would be best.",he heard something in the garden.,Quincy never heard anything in the garden.,1
206,A goal of mine is to be able to do a thousand pushups in one day.,A year later I can now do well over one thousand pushups.,"I did push ups everyday, increasing as time went on.","I did push ups everyday, apatheticing as time went on.",1
207,Dan was a crooked businessman,Dan was sent to jail,Dan got caught first year.,Dan got caught last year.,2
208,"When I was younger, I went to summer camp.",My favorite card game was poker.,"After lights out, my friends and I would sing songs.","After lights out, my friends and I would play cards game.",2
209,On Sunday my wife and I went down to our apartment building lobby.,I had cheese for dessert that very night.,There was some cheese laid out.,There was some cake laid out.,1
210,He was at a sluggish pace in the morning.,"And there it was, coffee, what he needed to get his day started.",He stopped by a playground on the way to work.,He stopped by a Starbucks on the way to work.,2
211,Jane needed a topper for her tree.,Her home-made star ended up looking really nice.,Jane didn't have money to buy one.,Jane didn't have money to buy eggs.,1
212,Raymond woke up excited because it was Easter morning.,He knew that this was going to be an amazing Easter.,His mom was preparing an Easter brunch for after church.,His mom was preparing an Christmas brunch for after church.,1
213,Lana called me to hang out.,"Considering that we're good friend, I decided to ask her out.",I had a really big crush on Sarah.,I had a really big crush on Lana.,2
214,Mikey was eating out with his family.,It became such a mess Mikey decided to leave.,Mikey's family started throwing food.,Mikey's family ordered five appetizers and they didn't fit on the table.,2
215,Tia wanted to make something to sell at the craft fair.,Tia then made pretty labels to put on each bar.,Tia made candy bars to sell.,Candy bars made Tia to sell.,1
216,Frank loved watching football.,Frank enjoyed his Sunday's watching football games.,He would skip church and watch all sunday.,Frank spent all day Sunday at the local church.,1
217,My granddaughter's day care is celebrating Chinese New Year.,My two year old granddaughter refused to try it on!,I couldn't find any traditional clothes for my granddaughter.,I bought my granddaughter some traditional clothes.,2
218,My friend used to have a pet tarantula.,"It took four days, but they finally found the spider.",It escaped from the cage.,It was still in the cage.,1
219,Dave was the best detective in the world.,He solved it immediately and shocked everybody.,Dave got a really hard case.,Dave got a really simple case.,1
220,Yesterday was the best day ever.,I couldn't wait to go.,I broke my arm.,I won a trip to Universal Studios in a raffle drawing at church.,2
221,Celia wasn't sure if she could muster the courage to leave.,Celia never looked back and never went back.,Celia got her courage.,Celia did not find her courage.,1
222,The kids heard loud noises in the living room.,She noticed that the garbage can was tipped over.,One of the kids went downstairs to check it in.,One of the kids went downstairs to check it out.,2
223,A gameshow trivia host worked the same gameshow for 30 years.,The audience gasped as he ran off with his prize money.,The host decided to become a waiter.,The host decided to become a contestant.,2
224,Alice wanted to buy her son jack a puppy.,Alice was touched by Jack's happiness.,Jack was not thrilled with the present.,jack was thrilled with the present.,2
225,Kelsi and her family decided to try some new cuisine.,The taste was quite tasty.,They decided to try a local Ethiopian restaurant that was quite popular.,They decided not to try a local Ethiopian restuarant that was quite popular.,1
226,David asked his parents if he could bring home a bunny rabbit.,"He put the bunny in a small cardboard box, and went home.",His plants said yes.,His parents said yes.,2
227,Rachel was studying to become baptized.,She had a change of heart and decided not to go through with it.,The were a lot more committments than planned.,The die a lot more committments than planned.,1
228,I've been saving up for the past two months for a car.,"Ultimately, I felt more happier.",i decided to gamble my money away.,I decided to buy a computer instead.,2
229,Cal was drying off from his shower when he felt the urge to defecate.,Cal had to take another shower and dry off with the wet towel.,Cal went to the toilet to urinate.,Cal went to the toilet to poop.,2
230,Johnny had been saving his money for a while.,"When he finally bought his sneakers, he was so excited.",Johnny really wanted the new Nike's.,Johnny really wanted the new coat.,1
231,Tom worked at an office.,He gained many clients and quit his job.,Tom started a failed side business and was really bad at it.,Tom started a side business and was really good at it.,2
232,John felt like he was coming down with a cold.,John then felt sick the rest of the day.,After some time John really felt better.,After some time John really get cold.,2
233,Amy was having trouble paying her rent on time.,Now she sleeps in the park.,Amy forgot so often but was never evicted.,Amy forgot so often that she was evicted.,2
234,My cat usually sleeps on my pillow by my head.,"When I came back in, she was dozing on my pillow.",I needed to sleep so I left my cat on the pillow.,I needed to sleep so I moved my cat off the pillow.,2
235,Ray was running for student council.,He had made it onto the student council committee!,Ray walked up to the bulletin board to look at the results of the election.,Ray walked up to the bulletin boar to look at the results of running.,1
236,Butch had a really old computer.,It arrived and Butch was much happier.,Butch ordered a new computer.,He couldn't afford a new computer.,1
237,Allen was sad on Christmas.,He picked it up and bought his girlfriend a new phone.,His girlfriend had broke Allen's phone.,He had broke his girlfriend's phone.,2
